SimNum,Simulation,Electoral College Winner,SimpleCanidate,Third Party EC Votes,WinningMargin,Democratic EC Votes,Republican EC Votes,Democratic State Wins,Republican State Wins,WinnerStateWins
1,election_1,The Republican nominee (Trump/Pence),Trump,0,-3,266,272,"Wisconsin, Iowa, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
2,election_2,The Republican nominee (Trump/Pence),Trump,0,-19,250,288,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
3,election_3,The Republican nominee (Trump/Pence),Trump,0,-15,254,284,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
4,election_4,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Wisconsin, Ohio, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
5,election_5,The Republican nominee (Trump/Pence),Trump,0,-19,250,288,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
6,election_6,The Republican nominee (Trump/Pence),Trump,0,-18,251,287,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
7,election_7,The Democratic nominee (Biden/Harris),Biden,0,7,276,262,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
8,election_8,The Democratic nominee (Biden/Harris),Biden,0,8,277,261,"Wisconsin, Arizona, Iowa","Michigan, Georgia, Ohio","Wisconsin, Arizona, Iowa"
9,election_9,The Republican nominee (Trump/Pence),Trump,0,-5,264,274,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
10,election_10,The Democratic nominee (Biden/Harris),Biden,0,23,292,246,"Wisconsin, Michigan, Arizona","Georgia, Ohio, Florida","Wisconsin, Michigan, Arizona"
11,election_11,Tie,Tie,0,0,269,269,"Wisconsin, Arizona, Iowa","Michigan, Georgia, Ohio",
12,election_12,The Democratic nominee (Biden/Harris),Biden,0,6,275,263,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Michigan, Pennsylvania, NA"
13,election_13,The Democratic nominee (Biden/Harris),Biden,0,32,301,237,"Michigan, Georgia, Iowa","Wisconsin, Arizona, Ohio","Michigan, Georgia, Iowa"
14,election_14,The Democratic nominee (Biden/Harris),Biden,0,39,308,230,"Michigan, Arizona, Iowa","Wisconsin, Georgia, Ohio","Michigan, Arizona, Iowa"
15,election_15,The Democratic nominee (Biden/Harris),Biden,0,3,272,266,"Wisconsin, Michigan, Iowa","Arizona, Georgia, Ohio","Wisconsin, Michigan, Iowa"
16,election_16,The Democratic nominee (Biden/Harris),Biden,0,7,276,262,"Arizona, Ohio, Pennsylvania","Wisconsin, Michigan, Georgia","Arizona, Ohio, Pennsylvania"
17,election_17,The Republican nominee (Trump/Pence),Trump,0,-5,264,274,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
18,election_18,The Democratic nominee (Biden/Harris),Biden,0,3,272,266,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
19,election_19,The Republican nominee (Trump/Pence),Trump,0,-1,268,270,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
20,election_20,The Democratic nominee (Biden/Harris),Biden,0,5,274,264,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
21,election_21,The Democratic nominee (Biden/Harris),Biden,0,41,310,228,"Wisconsin, Michigan, Ohio","Arizona, Georgia, Iowa","Wisconsin, Michigan, Ohio"
22,election_22,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
23,election_23,The Democratic nominee (Biden/Harris),Biden,0,6,275,263,"Michigan, Georgia, Pennsylvania","Wisconsin, Arizona, Iowa","Michigan, Georgia, Pennsylvania"
24,election_24,The Republican nominee (Trump/Pence),Trump,0,-12,257,281,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
25,election_25,The Republican nominee (Trump/Pence),Trump,0,-8,261,277,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
26,election_26,The Republican nominee (Trump/Pence),Trump,0,-12,257,281,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
27,election_27,The Republican nominee (Trump/Pence),Trump,0,-17,252,286,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
28,election_28,The Republican nominee (Trump/Pence),Trump,0,-18,251,287,"Ohio, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
29,election_29,The Democratic nominee (Biden/Harris),Biden,0,26,295,243,"Michigan, Arizona, Georgia","Wisconsin, Iowa, Ohio","Michigan, Arizona, Georgia"
30,election_30,The Democratic nominee (Biden/Harris),Biden,0,3,272,266,"Michigan, Georgia, Pennsylvania","Wisconsin, Arizona, Iowa","Michigan, Georgia, Pennsylvania"
31,election_31,The Republican nominee (Trump/Pence),Trump,0,-21,248,290,"Ohio, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
32,election_32,The Democratic nominee (Biden/Harris),Biden,0,1,270,268,"Arizona, Nevada, Pennsylvania","Wisconsin, Michigan, Georgia","Arizona, Nevada, Pennsylvania"
33,election_33,The Republican nominee (Trump/Pence),Trump,0,-3,266,272,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
34,election_34,The Republican nominee (Trump/Pence),Trump,0,-22,247,291,"Arizona, Iowa, Pennsylvania","Wisconsin, Michigan, Georgia","Wisconsin, Michigan, Georgia"
35,election_35,Tie,Tie,0,0,269,269,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa",
36,election_36,The Democratic nominee (Biden/Harris),Biden,0,43,312,226,"Wisconsin, Georgia, Iowa","Michigan, Arizona, Ohio","Wisconsin, Georgia, Iowa"
37,election_37,The Democratic nominee (Biden/Harris),Biden,0,23,292,246,"Michigan, Florida, Pennsylvania","Wisconsin, Arizona, Georgia","Michigan, Florida, Pennsylvania"
38,election_38,The Republican nominee (Trump/Pence),Trump,0,-24,245,293,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
39,election_39,The Democratic nominee (Biden/Harris),Biden,0,8,277,261,"Michigan, Arizona, Pennsylvania","Wisconsin, Georgia, Iowa","Michigan, Arizona, Pennsylvania"
40,election_40,The Democratic nominee (Biden/Harris),Biden,0,17,286,252,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
41,election_41,The Republican nominee (Trump/Pence),Trump,0,-1,268,270,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Arizona, Georgia, Iowa"
42,election_42,The Democratic nominee (Biden/Harris),Biden,0,13,282,256,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
43,election_43,The Republican nominee (Trump/Pence),Trump,0,-15,254,284,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
44,election_44,The Democratic nominee (Biden/Harris),Biden,0,34,303,235,"Wisconsin, Michigan, Arizona","Ohio, Florida, Nevada","Wisconsin, Michigan, Arizona"
45,election_45,The Democratic nominee (Biden/Harris),Biden,0,1,270,268,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
46,election_46,The Democratic nominee (Biden/Harris),Biden,0,39,308,230,"Wisconsin, Michigan, Iowa","Arizona, Georgia, Ohio","Wisconsin, Michigan, Iowa"
47,election_47,The Democratic nominee (Biden/Harris),Biden,0,25,294,244,"Arizona, Florida, Pennsylvania","Wisconsin, Michigan, Georgia","Arizona, Florida, Pennsylvania"
48,election_48,The Democratic nominee (Biden/Harris),Biden,0,24,293,245,"Michigan, Arizona, Georgia","Wisconsin, Iowa, Ohio","Michigan, Arizona, Georgia"
49,election_49,The Republican nominee (Trump/Pence),Trump,0,-16,253,285,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
50,election_50,The Republican nominee (Trump/Pence),Trump,0,-17,252,286,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
51,election_51,The Democratic nominee (Biden/Harris),Biden,3,10,279,256,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
52,election_52,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
53,election_53,The Democratic nominee (Biden/Harris),Biden,0,11,280,258,"Wisconsin, Michigan, Arizona","Georgia, Ohio, Florida","Wisconsin, Michigan, Arizona"
54,election_54,The Republican nominee (Trump/Pence),Trump,0,-21,248,290,"Iowa, Pennsylvania, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
55,election_55,The Democratic nominee (Biden/Harris),Biden,0,24,293,245,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
56,election_56,The Republican nominee (Trump/Pence),Trump,0,-18,251,287,"Pennsylvania, NA, NA","Wisconsin, Michigan, Arizona","Wisconsin, Michigan, Arizona"
57,election_57,The Democratic nominee (Biden/Harris),Biden,0,3,272,266,"Wisconsin, Michigan, Arizona","Georgia, Iowa, Ohio","Wisconsin, Michigan, Arizona"
58,election_58,The Democratic nominee (Biden/Harris),Biden,0,18,287,251,"Wisconsin, Michigan, Georgia","Arizona, Iowa, Ohio","Wisconsin, Michigan, Georgia"
59,election_59,The Democratic nominee (Biden/Harris),Biden,0,6,275,263,"Wisconsin, Georgia, Nevada","Michigan, Arizona, Iowa","Wisconsin, Georgia, Nevada"
60,election_60,The Democratic nominee (Biden/Harris),Biden,0,53,322,216,"Michigan, Arizona, Georgia","Wisconsin, Ohio, Nevada","Michigan, Arizona, Georgia"
61,election_61,The Republican nominee (Trump/Pence),Trump,0,-27,242,296,"Wisconsin, Pennsylvania, NA","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
62,election_62,The Democratic nominee (Biden/Harris),Biden,0,16,285,253,"Michigan, Georgia, Iowa","Wisconsin, Arizona, Ohio","Michigan, Georgia, Iowa"
63,election_63,The Democratic nominee (Biden/Harris),Biden,0,4,273,265,"Michigan, Arizona, Ohio","Wisconsin, Georgia, Iowa","Michigan, Arizona, Ohio"
64,election_64,The Democratic nominee (Biden/Harris),Biden,0,8,277,261,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Michigan, Pennsylvania, NA"
65,election_65,The Democratic nominee (Biden/Harris),Biden,0,10,279,259,"Wisconsin, Arizona, Pennsylvania","Michigan, Georgia, Iowa","Wisconsin, Arizona, Pennsylvania"
66,election_66,The Republican nominee (Trump/Pence),Trump,3,-10,259,276,"Michigan, Iowa, Pennsylvania","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
67,election_67,The Republican nominee (Trump/Pence),Trump,0,-13,256,282,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
68,election_68,The Democratic nominee (Biden/Harris),Biden,0,24,293,245,"Wisconsin, Michigan, Florida","Arizona, Georgia, Iowa","Wisconsin, Michigan, Florida"
69,election_69,The Democratic nominee (Biden/Harris),Biden,0,29,298,240,"Wisconsin, Michigan, Arizona","Georgia, Ohio, Florida","Wisconsin, Michigan, Arizona"
70,election_70,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Arizona, Pennsylvania, NA","Wisconsin, Michigan, Georgia","Wisconsin, Michigan, Georgia"
71,election_71,The Republican nominee (Trump/Pence),Trump,0,-9,260,278,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
72,election_72,The Republican nominee (Trump/Pence),Trump,0,-18,251,287,"Michigan, Pennsylvania, NA","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
73,election_73,The Democratic nominee (Biden/Harris),Biden,0,20,289,249,"Michigan, Ohio, Pennsylvania","Wisconsin, Arizona, Georgia","Michigan, Ohio, Pennsylvania"
74,election_74,The Democratic nominee (Biden/Harris),Biden,0,19,288,250,"Wisconsin, Michigan, Arizona","Georgia, Ohio, Florida","Wisconsin, Michigan, Arizona"
75,election_75,The Republican nominee (Trump/Pence),Trump,0,-10,259,279,"Michigan, Iowa, Pennsylvania","Wisconsin, Arizona, Georgia","Wisconsin, Arizona, Georgia"
76,election_76,The Democratic nominee (Biden/Harris),Biden,0,2,271,267,"Wisconsin, Michigan, Pennsylvania","Arizona, Georgia, Iowa","Wisconsin, Michigan, Pennsylvania"
77,election_77,The Republican nominee (Trump/Pence),Trump,0,-12,257,281,"Wisconsin, Iowa, Pennsylvania","Michigan, Arizona, Georgia","Michigan, Arizona, Georgia"
